fold,best_epoch,accuracy,precision_macro,recall_macro,f1_macro,mean_predicted_confidence,std_predicted_confidence,training_time_seconds,train_samples,validation_samples
1,68,1.0,1.0,1.0,1.0,0.7419016361236572,0.177582785487175,834.326566696167,1023,256
2,38,0.9921875,0.9921418128654972,0.990558615263572,0.9912335382069827,0.6028560400009155,0.17997309565544128,824.482010602951,1023,256
3,35,0.99609375,0.9965277777777778,0.996031746031746,0.9962375819065737,0.5658982992172241,0.17054417729377747,841.0378477573395,1023,256
4,100,0.9921875,0.9933917905705935,0.9921803964357157,0.9927051883581123,0.8230242133140564,0.15685059130191803,849.8685195446014,1023,256
5,49,0.984313725490196,0.9870636779301885,0.9838217338217339,0.9850220899662686,0.6596432328224182,0.18642760813236237,834.0970003604889,1024,255
