model_key,n_cases,latency_mean_s,latency_std_s,peak_vram_gb,input_tokens_mean,input_tokens_std,output_tokens_mean,output_tokens_std,valid_report_rate,truncation_rate
mistral,6,14.689532583666695,3.031740726109651,4.363,341.1666666666667,1.4719601443879733,211.5,45.00111109739404,1.0,0.0
qwen,6,4.490805315166692,0.8465014147977407,5.898,309.1666666666667,0.7527726527090784,115.16666666666667,21.590893141939883,1.0,0.0
tinyllama,6,13.613853321833338,1.6415727121459363,2.09,360.3333333333333,1.7511900715418267,583.1666666666666,83.43720193454875,0.8333333333333334,0.16666666666666666
zephyr,6,22.057625516333285,4.361640527818719,4.033,349.1666666666667,1.4719601443879733,250.5,53.37696132227836,1.0,0.0
